disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2
2,2.000999927520752,2,USA,200,UKG,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,184,184,7,7,0,49,49,0,0,0,0,0,0
2,2.000999927520752,2,USA,200,UKG,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,2,25,209,7,7,0,49,49,0,0,0,0,0,0
2,2.000999927520752,200,UKG,2,USA,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,184,184,7,0,7,49,0,49,0,0,0,0,0
2,2.000999927520752,200,UKG,2,USA,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,2,25,209,7,0,7,49,0,49,0,0,0,0,0
3,3.000999927520752,300,AUH,345,YUG,1913,2,5,1913,25,10,1913,4,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,177,177,8,8,0,20,20,0,0,0,0,0,0
3,3.000999927520752,345,YUG,300,AUH,1913,2,5,1913,25,10,1913,3,3,0,10,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,10,3,1,3,1,3,1,0,1,177,177,8,0,8,20,0,20,0,0,0,0,0
4,4.000999927520752,200,UKG,339,ALB,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,0,0,0,2,8,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,183,183,16,7,16,65,49,65,0,0,0,0,0
4,4.000999927520752,339,ALB,200,UKG,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,8,3,1,1,3,1,3,0,1,183,183,16,16,7,65,65,49,0,0,0,0,0
7,7.000999927520752,200,UKG,651,EGY,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,2,0,18,4,1,1,3,1,3,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0
7,7.000999927520752,200,UKG,651,EGY,1952,13,10,1951,26,1,1952,1,3,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,2,2,18,4,1,1,3,1,3,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0
7,7.000999927520752,651,EGY,200,UKG,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,0,1,2,0,18,4,1,1,0,0,0,18,4,1,3,1,3,1,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0
7,7.000999927520752,651,EGY,200,UKG,1952,13,10,1951,26,1,1952,2,3,2,18,4,1,1,1,0,1,2,2,18,4,1,1,0,0,1,18,4,1,3,1,3,1,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0
8,8.00100040435791,200,UKG,630,IRN,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,1,1,2,0,22,5,1,0,0,0,0,22,5,1,1,3,1,3,1,1,184,184,20,20,20,100,100,100,0,0,1,0,0
8,8.00100040435791,200,UKG,630,IRN,1857,1,7,1856,5,4,1857,1,2,6,22,5,1,1,1,1,1,2,6,22,5,1,0,0,0,6,22,5,1,1,3,1,3,1,2,96,280,20,20,20,100,100,100,0,0,1,0,0
8,8.00100040435791,630,IRN,200,UKG,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,0,0,0,0,22,5,1,1,1,2,0,22,5,1,3,1,3,1,1,1,184,184,20,20,20,100,100,100,0,0,1,0,0
8,8.00100040435791,630,IRN,200,UKG,1857,1,7,1856,5,4,1857,2,2,6,22,5,1,1,1,0,0,0,6,22,5,1,1,1,2,6,22,5,1,3,1,3,1,1,2,96,280,20,20,20,100,100,100,0,0,1,0,0
9,9.00100040435791,200,UKG,235,POR,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,3,3,7,7,0,49,49,0,0,0,0,0,0
9,9.00100040435791,200,UKG,235,POR,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,11,14,7,7,0,49,49,0,0,0,0,0,0
9,9.00100040435791,235,POR,200,UKG,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,1,3,3,7,0,7,49,0,49,0,0,0,0,0
9,9.00100040435791,235,POR,200,UKG,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,2,11,14,7,0,7,49,0,49,0,0,0,0,0
11,11.00100040435791,255,GMY,305,AUS,1938,11,3,1938,12,3,1938,4,1,0,16,4,0,1,1,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,14,14,0,84,84,0,0,0,0,0,0
11,11.00100040435791,305,AUS,255,GMY,1938,11,3,1938,12,3,1938,3,1,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,1,2,2,14,0,14,84,0,84,0,0,0,0,0
12,12.00100040435791,200,UKG,255,GMY,1938,26,8,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,8,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,36,36,16,7,16,65,49,65,0,0,0,0,0
12,12.00100040435791,255,GMY,200,UKG,1938,26,8,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,8,3,0,1,4,1,3,0,1,36,36,16,16,7,65,65,49,0,0,0,0,0
12,12.001999855041504,211,BEL,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,7,16,65,49,65,0,0,0,0,0
12,12.001999855041504,255,GMY,211,BEL,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,24,24,16,16,7,65,65,49,0,0,0,0,0
12,12.003000259399414,220,FRN,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,12,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,10,16,65,82,65,0,0,0,0,0
12,12.003000259399414,255,GMY,220,FRN,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,12,3,0,1,4,1,3,0,1,24,24,16,16,10,65,65,82,0,0,0,0,0
12,12.003999710083008,255,GMY,315,CZE,1938,11,3,1938,30,9,1938,4,1,0,19,4,1,1,5,1,1,1,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,204,204,16,16,16,65,65,65,0,0,0,0,0
12,12.003999710083008,315,CZE,255,GMY,1938,11,3,1938,30,9,1938,3,1,0,19,4,1,1,5,0,0,0,0,19,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,204,204,16,16,16,65,65,65,0,0,0,0,0
12,12.005000114440918,255,GMY,365,RUS,1938,16,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,15,15,16,16,7,65,65,49,0,0,0,0,0
12,12.005000114440918,365,RUS,255,GMY,1938,16,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,15,15,16,7,16,65,49,65,0,0,0,0,0
13,13.00100040435791,2,USA,740,JPN,1863,20,7,1863,20,7,1863,1,2,0,2,2,0,3,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,1,1,1,1,0,30,30,0,0,0,0,0,0
13,13.00100040435791,740,JPN,2,USA,1863,20,7,1863,20,7,1863,2,2,0,2,2,0,3,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,3,2,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,0
13,13.001999855041504,200,UKG,740,JPN,1863,6,4,1863,17,8,1863,1,2,0,17,4,0,3,1,1,1,2,-9,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,134,134,15,15,0,81,81,0,0,0,0,0,0
13,13.001999855041504,740,JPN,200,UKG,1863,6,4,1863,17,8,1863,2,2,0,17,4,0,3,1,0,0,0,0,0,1,1,1,1,2,-9,17,4,1,3,1,3,1,0,1,134,134,15,0,15,81,0,81,0,0,0,0,0
13,13.003000259399414,220,FRN,740,JPN,1863,20,7,1863,20,7,1863,1,2,0,2,2,0,3,1,1,0,0,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,1,1,1,1,0,30,30,0,0,0,0,0,0
13,13.003000259399414,740,JPN,220,FRN,1863,20,7,1863,20,7,1863,2,2,0,2,2,0,3,1,0,0,0,0,0,1,1,1,0,0,0,2,2,0,3,2,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,0
14,14.00100040435791,200,UKG,640,TUR,1895,15,10,1895,31,12,1895,4,3,0,8,3,0,1,1,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,78,78,7,7,0,49,49,0,0,0,0,0,0
14,14.00100040435791,640,TUR,200,UKG,1895,15,10,1895,31,12,1895,3,3,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,78,78,7,0,7,49,0,49,0,0,0,0,0
15,15.00100040435791,2,USA,200,UKG,1839,1,1,1839,23,3,1839,6,1,0,17,4,0,1,1,1,1,1,0,7,3,1,0,1,1,0,17,4,1,1,3,1,3,0,1,82,82,15,7,15,81,49,81,0,0,0,0,0
15,15.00100040435791,200,UKG,2,USA,1839,1,1,1839,23,3,1839,6,1,0,17,4,0,1,1,0,1,1,0,17,4,1,1,1,1,0,7,3,1,3,1,3,1,0,1,82,82,15,15,7,81,81,49,0,0,0,0,0
16,16.000999450683594,200,UKG,365,USR,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,0,0,0,8,3,1,0,1,2,0,8,3,1,1,3,1,3,0,1,7,7,7,7,7,49,49,49,0,0,0,0,0
16,16.000999450683594,200,UKG,365,USR,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,0,0,0,8,3,1,0,1,2,0,8,3,1,1,3,1,3,0,2,37,44,7,7,7,49,49,49,0,0,0,0,0
16,16.000999450683594,365,USR,200,UKG,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,1,2,0,8,3,1,1,0,0,0,8,3,1,3,1,3,1,0,1,7,7,7,7,7,49,49,49,0,0,0,0,0
16,16.000999450683594,365,USR,200,UKG,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,1,2,0,8,3,1,1,0,0,0,8,3,1,3,1,3,1,0,2,37,44,7,7,7,49,49,49,0,0,0,0,0
16,16.00200080871582,200,UKG,730,KOR,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,0,0,0,0,0,0
16,16.00200080871582,200,UKG,730,KOR,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,37,44,7,7,0,49,49,0,0,0,0,0,0
16,16.00200080871582,730,KOR,200,UKG,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,0,49,0,0,0,0,0
16,16.00200080871582,730,KOR,200,UKG,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,2,37,44,7,0,7,49,0,49,0,0,0,0,0
16,16.003000259399414,365,RUS,740,JPN,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,1,7,7,7,0,7,49,0,49,0,0,0,0,0
16,16.003000259399414,365,RUS,740,JPN,1898,25,12,1897,5,2,1898,3,3,0,8,3,0,2,2,0,0,0,0,0,1,1,1,1,2,0,8,3,1,3,1,3,1,0,2,37,44,7,0,7,49,0,49,0,0,0,0,0
16,16.003000259399414,740,JPN,365,RUS,1897,25,12,1897,5,2,1898,0,0,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,7,7,7,7,0,49,49,0,0,0,0,0,0
16,16.003000259399414,740,JPN,365,RUS,1898,25,12,1897,5,2,1898,4,3,0,8,3,0,2,2,1,1,2,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,37,44,7,7,0,49,49,0,0,0,0,0,0
19,19.000999450683594,300,AUH,325,ITA,1848,4,4,1848,23,3,1849,0,0,0,22,5,1,1,3,1,0,0,0,22,5,1,0,1,1,0,22,5,1,1,3,3,1,1,1,272,272,20,20,20,100,100,100,0,0,1,0,0
19,19.000999450683594,300,AUH,325,ITA,1849,4,4,1848,23,3,1849,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,1,1,6,22,5,1,1,3,3,1,1,2,83,355,20,20,20,100,100,100,0,0,1,0,0
19,19.000999450683594,325,ITA,300,AUH,1848,4,4,1848,23,3,1849,0,0,0,22,5,1,1,3,0,1,1,0,22,5,1,1,0,0,0,22,5,1,3,1,1,3,1,1,272,272,20,20,20,100,100,100,0,0,1,0,0
19,19.000999450683594,325,ITA,300,AUH,1849,4,4,1848,23,3,1849,2,1,6,22,5,1,1,3,0,1,1,6,22,5,1,1,0,0,6,22,5,1,3,1,1,3,1,2,83,355,20,20,20,100,100,100,0,0,1,0,0
19,19.00200080871582,300,AUH,332,MOD,1848,1,3,1848,9,8,1848,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,0,0,2,22,5,0,1,4,3,1,1,1,146,146,20,20,20,100,100,100,0,0,1,0,0
19,19.00200080871582,332,MOD,300,AUH,1848,1,3,1848,24,7,1848,2,1,6,22,5,1,1,3,0,0,0,2,22,5,0,1,0,0,6,22,5,1,4,1,1,3,1,1,146,146,20,20,20,100,100,100,0,0,1,0,0
19,19.003000259399414,300,AUH,337,TUS,1848,21,3,1848,9,8,1848,1,1,6,22,5,1,1,3,1,0,0,6,22,5,1,0,0,0,2,22,5,0,1,4,3,1,1,1,126,126,20,20,20,100,100,100,0,0,1,0,0
19,19.003000259399414,337,TUS,300,AUH,1848,21,3,1848,24,7,1848,2,1,6,22,5,1,1,3,0,0,0,2,22,5,0,1,0,0,6,22,5,1,4,1,1,3,1,1,126,126,20,20,20,100,100,100,0,0,1,0,0
20,20.000999450683594,365,RUS,630,IRN,1945,18,11,1945,9,5,1946,0,0,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,44,44,7,7,0,49,49,0,0,0,0,0,0
20,20.000999450683594,365,RUS,630,IRN,1946,18,11,1945,9,5,1946,3,1,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,130,174,7,7,0,49,49,0,0,0,0,0,0
20,20.000999450683594,630,IRN,365,RUS,1945,18,11,1945,9,5,1946,0,0,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,1,44,44,7,0,7,49,0,49,0,0,0,0,0
20,20.000999450683594,630,IRN,365,RUS,1946,18,11,1945,9,5,1946,4,1,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,2,130,174,7,0,7,49,0,49,0,0,0,0,0
21,21.000999450683594,300,AUH,345,YUG,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,1,1,2,0,12,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,13,13,10,10,0,82,82,0,0,0,0,0,0
21,21.000999450683594,345,YUG,300,AUH,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,0,1,1,0,0,1,1,1,1,2,0,12,3,1,3,1,3,1,0,1,13,13,10,0,10,82,0,82,0,0,0,0,0
21,21.00200080871582,300,AUH,365,RUS,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,1,1,2,0,12,3,1,0,1,2,0,0,1,1,1,3,1,3,0,1,13,13,10,10,0,82,82,0,0,0,0,0,0
21,21.00200080871582,365,RUS,300,AUH,1912,21,11,1912,3,12,1912,5,3,0,12,3,0,1,2,0,1,2,0,0,1,1,1,1,2,0,12,3,1,3,1,3,1,0,1,13,13,10,0,10,82,0,82,0,0,0,0,0
22,22.000999450683594,365,RUS,367,LAT,1940,9,6,1940,17,6,1940,1,2,0,19,4,1,1,1,1,1,1,-9,19,4,1,0,0,0,-9,19,4,1,1,3,1,3,0,1,9,9,16,16,16,65,65,65,0,0,0,0,0
22,22.000999450683594,367,LAT,365,RUS,1940,9,6,1940,17,6,1940,2,2,0,19,4,1,1,1,0,0,0,-9,19,4,1,1,1,1,-9,19,4,1,3,1,3,1,0,1,9,9,16,16,16,65,65,65,0,0,0,0,0
23,23.000999450683594,365,RUS,366,EST,1939,1,3,1939,18,10,1939,4,1,0,15,4,0,1,1,1,1,2,0,15,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,232,232,13,13,0,96,96,0,0,0,0,0,0
23,23.000999450683594,366,EST,365,RUS,1939,1,3,1939,18,10,1939,3,1,0,15,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,15,4,1,3,1,3,1,0,1,232,232,13,0,13,96,0,96,0,0,0,0,0
25,25.000999450683594,200,UKG,210,NTH,1831,15,8,1831,30,9,1831,5,3,0,8,3,0,2,3,0,0,0,0,8,3,0,1,1,1,0,0,1,1,4,1,1,3,0,1,47,47,7,7,0,49,49,0,0,0,0,0,0
25,25.000999450683594,210,NTH,200,UKG,1831,15,8,1831,30,9,1831,5,3,0,8,3,0,2,3,1,1,1,0,0,1,1,0,0,0,0,8,3,0,1,4,3,1,0,1,47,47,7,0,7,49,0,49,0,0,0,0,0
25,25.00200080871582,210,NTH,211,BEL,1831,2,8,1831,2,2,1832,0,0,0,18,4,1,2,3,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,152,152,17,17,17,75,75,75,0,0,0,0,0
25,25.00200080871582,210,NTH,211,BEL,1832,2,8,1831,2,2,1832,5,3,0,18,4,1,2,3,1,1,1,-9,18,4,1,0,0,0,-9,18,4,1,1,3,1,3,0,2,34,186,17,17,17,75,75,75,0,0,0,0,0
25,25.00200080871582,211,BEL,210,NTH,1831,2,8,1831,2,2,1832,0,0,0,18,4,1,2,3,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,152,152,17,17,17,75,75,75,0,0,0,0,0
25,25.00200080871582,211,BEL,210,NTH,1832,2,8,1831,2,2,1832,5,3,0,18,4,1,2,3,0,0,0,-9,18,4,1,1,1,1,-9,18,4,1,3,1,3,1,0,2,34,186,17,17,17,75,75,75,0,0,0,0,0
25,25.003000259399414,210,NTH,220,FRN,1831,15,8,1831,30,9,1831,5,3,0,19,4,1,2,3,1,1,1,-9,19,4,1,0,0,0,-9,18,4,0,1,4,3,1,0,1,47,47,16,16,17,65,65,75,0,0,0,0,0
25,25.003000259399414,220,FRN,210,NTH,1831,15,8,1831,30,9,1831,5,3,0,19,4,1,2,3,0,0,0,-9,18,4,0,1,1,1,-9,19,4,1,4,1,1,3,0,1,47,47,16,17,16,65,75,65,0,0,0,0,0
25,25.003999710083008,220,FRN,255,GMY,1831,15,8,1831,30,9,1831,5,3,0,2,2,0,2,3,0,0,0,0,0,1,0,1,1,1,0,2,2,0,4,2,3,1,0,1,47,47,1,0,1,30,0,30,0,0,0,0,0
25,25.003999710083008,255,GMY,220,FRN,1831,15,8,1831,30,9,1831,5,3,0,2,2,0,2,3,1,1,1,0,2,2,0,0,0,0,0,0,1,0,2,4,1,3,0,1,47,47,1,1,0,30,30,0,0,0,0,0,0
26,26.000999450683594,2,USA,365,RUS,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,286,286,16,13,16,65,96,65,0,0,0,0,0
26,26.000999450683594,2,USA,365,RUS,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,2,207,493,16,13,16,65,96,65,0,0,0,0,0
26,26.000999450683594,365,RUS,2,USA,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,1,286,286,16,16,13,65,65,96,0,0,0,0,0
26,26.000999450683594,365,RUS,2,USA,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,2,207,493,16,16,13,65,65,96,0,0,0,0,0
26,26.00200080871582,200,UKG,365,RUS,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,286,286,16,13,16,65,96,65,0,0,0,0,0
26,26.00200080871582,200,UKG,365,RUS,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,2,207,493,16,13,16,65,96,65,0,0,0,0,0
26,26.00200080871582,365,RUS,200,UKG,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,1,286,286,16,16,13,65,65,96,0,0,0,0,0
26,26.00200080871582,365,RUS,200,UKG,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,2,207,493,16,16,13,65,65,96,0,0,0,0,0
26,26.003000259399414,220,FRN,365,RUS,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,286,286,16,13,16,65,96,65,0,0,0,0,0
26,26.003000259399414,220,FRN,365,RUS,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,0,0,0,0,15,4,1,1,1,1,0,19,4,1,3,1,3,1,0,2,207,493,16,13,16,65,96,65,0,0,0,0,0
26,26.003000259399414,365,RUS,220,FRN,1948,21,3,1948,25,7,1949,0,0,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,1,286,286,16,16,13,65,65,96,0,0,0,0,0
26,26.003000259399414,365,RUS,220,FRN,1949,21,3,1948,25,7,1949,5,3,0,19,4,0,1,3,1,1,1,0,19,4,1,0,0,0,0,15,4,1,1,3,1,3,0,2,207,493,16,16,13,65,65,96,0,0,0,0,0
27,27.000999450683594,2,USA,265,GDR,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,12,3,1,0,1,2,0,15,4,0,1,4,1,3,0,1,77,77,13,10,13,96,82,96,0,0,0,0,0
27,27.000999450683594,265,GDR,2,USA,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,0,1,0,0,0,12,3,1,4,1,3,1,0,1,77,77,13,13,10,96,96,82,0,0,0,0,0
27,27.00200080871582,2,USA,290,POL,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,1,0,0,0,12,3,1,0,0,0,0,7,3,0,1,4,1,3,0,1,11,11,10,10,7,82,82,49,0,0,0,0,0
27,27.00200080871582,290,POL,2,USA,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,0,0,0,0,7,3,0,1,0,0,0,12,3,1,4,1,3,1,0,1,11,11,10,7,10,82,49,82,0,0,0,0,0
27,27.003000259399414,2,USA,315,CZE,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,1,0,0,0,12,3,1,0,0,0,0,7,3,0,1,4,1,3,0,1,11,11,10,10,7,82,82,49,0,0,0,0,0
27,27.003000259399414,315,CZE,2,USA,1961,18,10,1961,28,10,1961,5,3,0,12,3,0,4,4,0,0,0,0,7,3,0,1,0,0,0,12,3,1,4,1,3,1,0,1,11,11,10,7,10,82,49,82,0,0,0,0,0
27,27.003999710083008,2,USA,365,RUS,1961,25,7,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,12,3,1,0,1,2,0,15,4,1,1,3,1,3,0,1,96,96,13,10,13,96,82,96,0,0,0,0,0
27,27.003999710083008,365,RUS,2,USA,1961,25,7,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,1,1,0,0,0,12,3,1,3,1,3,1,0,1,96,96,13,13,10,96,96,82,0,0,0,0,0
27,27.0049991607666,200,UKG,265,GDR,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,7,3,0,0,1,2,0,15,4,0,2,4,1,3,0,1,77,77,13,7,13,96,49,96,0,0,0,0,0
27,27.0049991607666,265,GDR,200,UKG,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,0,1,0,0,0,7,3,0,4,2,3,1,0,1,77,77,13,13,7,96,96,49,0,0,0,0,0
27,27.006000518798828,200,UKG,290,POL,1961,18,10,1961,28,10,1961,5,3,0,7,3,0,4,4,1,0,0,0,7,3,0,0,0,0,0,7,3,0,2,4,1,3,0,1,11,11,7,7,7,49,49,49,0,0,0,0,0
27,27.006000518798828,290,POL,200,UKG,1961,18,10,1961,28,10,1961,5,3,0,7,3,0,4,4,0,0,0,0,7,3,0,1,0,0,0,7,3,0,4,2,3,1,0,1,11,11,7,7,7,49,49,49,0,0,0,0,0
27,27.006999969482422,200,UKG,315,CZE,1961,18,10,1961,28,10,1961,5,3,0,7,3,0,4,4,1,0,0,0,7,3,0,0,0,0,0,7,3,0,2,4,1,3,0,1,11,11,7,7,7,49,49,49,0,0,0,0,0
27,27.006999969482422,315,CZE,200,UKG,1961,18,10,1961,28,10,1961,5,3,0,7,3,0,4,4,0,0,0,0,7,3,0,1,0,0,0,7,3,0,4,2,3,1,0,1,11,11,7,7,7,49,49,49,0,0,0,0,0
27,27.007999420166016,200,UKG,365,RUS,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,7,3,0,0,1,2,0,15,4,1,2,3,1,3,0,1,77,77,13,7,13,96,49,96,0,0,0,0,0
27,27.007999420166016,365,RUS,200,UKG,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,0,1,2,0,15,4,1,1,0,0,0,7,3,0,3,2,3,1,0,1,77,77,13,13,7,96,96,49,0,0,0,0,0
27,27.009000778198242,220,FRN,265,GDR,1961,13,8,1961,28,10,1961,5,3,0,15,4,0,4,4,1,0,0,0,7,3,0,0,1,2,0,15,4,0,2,4,1,3,0,1,77,77,13,7,13,96,49,96,0,0,0,0,0
